Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,5.436000,5.461000,5.419000,5.423000,5.423000,166155626
2019-12-13,5.470000,5.514000,5.446000,5.500000,5.500000,293350843
2019-12-16,5.501000,5.597000,5.497000,5.587000,5.587000,272809205
2019-12-17,5.587000,5.701000,5.580000,5.675000,5.675000,279860880
2019-12-18,5.664000,5.710000,5.655000,5.670000,5.670000,206543825
2019-12-19,5.670000,5.698000,5.652000,5.683000,5.683000,162971230
2019-12-20,5.684000,5.701000,5.618000,5.628000,5.628000,249263934
2019-12-23,5.607000,5.621000,5.494000,5.499000,5.499000,280311200
2019-12-24,5.509000,5.589000,5.506000,5.582000,5.582000,200703484
2019-12-25,5.574000,5.617000,5.570000,5.607000,5.607000,216038540
2019-12-26,5.600000,5.652000,5.588000,5.649000,5.649000,186077613
2019-12-27,5.655000,5.689000,5.602000,5.604000,5.604000,172350875
2019-12-30,5.593000,5.687000,5.551000,5.682000,5.682000,211761491
2019-12-31,5.671000,5.712000,5.656000,5.705000,5.705000,171681372
2020-01-02,5.750000,5.829000,5.723000,5.814000,5.814000,235580946
2020-01-03,5.813000,5.846000,5.800000,5.824000,5.824000,154494095
2020-01-06,5.808000,5.948000,5.795000,5.890000,5.890000,222249582
2020-01-07,5.888000,5.968000,5.888000,5.966000,5.966000,212656332
2020-01-08,5.883000,5.883000,5.883000,5.883000,5.883000,252513668
2020-01-09,5.928000,5.958000,5.907000,5.957000,5.957000,234513632
2020-01-10,5.970000,5.980000,5.901000,5.932000,5.932000,203424198
2020-01-13,6.031000,6.031000,6.031000,6.031000,6.031000,203544158
2020-01-14,6.005000,6.005000,6.005000,6.005000,6.005000,188056821
2020-01-15,5.997000,6.008000,5.946000,5.987000,5.987000,175765410
2020-01-16,5.990000,6.015000,5.971000,5.995000,5.995000,194691753
2020-01-17,6.002000,6.019000,5.945000,5.961000,5.961000,259836027
2020-01-20,5.970000,6.063000,5.951000,6.061000,6.061000,169553372
2020-01-21,6.040000,6.044000,5.964000,5.990000,5.990000,294904487
2020-01-22,5.960000,6.074000,5.885000,6.036000,6.036000,273195453
2020-01-23,5.977000,6.013000,5.764000,5.811000,5.811000,413019100
2020-02-03,5.345000,5.383000,5.300000,5.339000,5.339000,658579876
2020-02-04,5.339000,5.448000,5.284000,5.429000,5.429000,538783507
2020-02-05,5.432000,5.600000,5.420000,5.546000,5.546000,315353183
2020-02-06,5.560000,5.738000,5.507000,5.711000,5.711000,294271997
2020-02-07,5.705000,5.769000,5.664000,5.766000,5.766000,225738702
2020-02-10,5.746000,5.824000,5.721000,5.822000,5.822000,279428915
2020-02-11,5.820000,5.837000,5.761000,5.796000,5.796000,207675711
2020-02-12,5.786000,5.915000,5.775000,5.914000,5.914000,192313456
2020-02-13,5.905000,5.925000,5.845000,5.861000,5.861000,205385234
2020-02-14,5.840000,5.925000,5.822000,5.868000,5.868000,212284489
2020-02-17,5.894000,6.070000,5.894000,6.067000,6.067000,392756054
2020-02-18,6.070000,6.120000,6.029000,6.116000,6.116000,406552117
2020-02-19,6.114000,6.135000,6.056000,6.067000,6.067000,272591808
2020-02-20,6.069000,6.195000,6.041000,6.181000,6.181000,269701609
2020-02-21,6.165000,6.312000,6.162000,6.279000,6.279000,300260500
2020-02-24,6.256000,6.366000,6.218000,6.337000,6.337000,306151706
2020-02-25,6.237000,6.395000,6.114000,6.379000,6.379000,309840665
2020-02-26,6.298000,6.356000,6.201000,6.217000,6.217000,285042733
2020-02-27,6.225000,6.297000,6.166000,6.215000,6.215000,255470796
2020-02-28,6.061000,6.103000,5.898000,5.906000,5.906000,545497528
2020-03-02,5.955000,6.153000,5.955000,6.122000,6.122000,381856987
2020-03-03,6.220000,6.301000,6.110000,6.164000,6.164000,384821186
2020-03-04,6.122000,6.190000,6.061000,6.184000,6.184000,185403286
2020-03-05,6.270000,6.282000,6.199000,6.263000,6.263000,142731645
2020-03-06,6.200000,6.283000,6.190000,6.227000,6.227000,127934958
2020-03-09,6.130000,6.160000,5.990000,5.997000,5.997000,183693381
2020-03-10,5.940000,6.135000,5.873000,6.130000,6.130000,321857462
2020-03-11,6.147000,6.166000,6.038000,6.040000,6.040000,320678902
2020-03-12,5.968000,6.012000,5.902000,5.962000,5.962000,162425397
2020-03-13,5.702000,5.967000,5.660000,5.919000,5.919000,360606036
2020-03-16,5.928000,5.930000,5.615000,5.632000,5.632000,269151344
2020-03-17,5.699000,5.768000,5.482000,5.643000,5.643000,367579385
2020-03-18,5.669000,5.770000,5.543000,5.558000,5.558000,274965429
2020-03-19,5.560000,5.620000,5.427000,5.608000,5.608000,366553988
2020-03-20,5.637000,5.658000,5.555000,5.649000,5.649000,218906088
2020-03-23,5.500000,5.552000,5.395000,5.423000,5.423000,355027699
2020-03-24,5.517000,5.546000,5.375000,5.500000,5.500000,312137091
2020-03-25,5.611000,5.652000,5.574000,5.633000,5.633000,278065297
2020-03-26,5.600000,5.646000,5.577000,5.579000,5.579000,181738606
2020-03-27,5.640000,5.655000,5.551000,5.555000,5.555000,148102724
2020-03-30,5.500000,5.500000,5.389000,5.448000,5.448000,273437238
2020-03-31,5.495000,5.505000,5.437000,5.448000,5.448000,219647858
2020-04-01,5.435000,5.529000,5.423000,5.428000,5.428000,180707148
2020-04-02,5.416000,5.593000,5.409000,5.589000,5.589000,238759529
2020-04-03,5.554000,5.576000,5.497000,5.522000,5.522000,200825900
2020-04-07,5.619000,5.703000,5.618000,5.686000,5.686000,232462227
2020-04-08,5.665000,5.724000,5.655000,5.703000,5.703000,154870671
2020-04-09,5.729000,5.775000,5.721000,5.756000,5.756000,150588450
2020-04-10,5.750000,5.750000,5.625000,5.652000,5.652000,238116465
2020-04-13,5.611000,5.626000,5.568000,5.594000,5.594000,179363900
2020-04-14,5.618000,5.721000,5.617000,5.714000,5.714000,169009514
2020-04-15,5.715000,5.754000,5.697000,5.703000,5.703000,159437530
2020-04-16,5.685000,5.774000,5.675000,5.748000,5.748000,160913500
2020-04-17,5.782000,5.824000,5.737000,5.755000,5.755000,219937352
2020-04-20,5.755000,5.819000,5.746000,5.817000,5.817000,156233879
2020-04-21,5.792000,5.792000,5.713000,5.780000,5.780000,232796686
2020-04-22,5.731000,5.839000,5.728000,5.834000,5.834000,177294404
2020-04-23,5.835000,5.846000,5.794000,5.804000,5.804000,103852078
2020-04-24,5.782000,5.800000,5.698000,5.718000,5.718000,185429332
2020-04-27,5.717000,5.751000,5.687000,5.698000,5.698000,144975905
2020-04-28,5.698000,5.699000,5.531000,5.654000,5.654000,248550600
2020-04-29,5.650000,5.700000,5.637000,5.665000,5.665000,151913947
2020-04-30,5.688000,5.823000,5.688000,5.807000,5.807000,224323705
2020-05-06,5.770000,5.913000,5.756000,5.897000,5.897000,218484888
